name,start,end
ACTIVE_EXPERIMENT,0.0,3402.43333
FILE_Clathrus_2022_01_12_TBP_2,0.0,3402.43333
TRIAL,0.0,6.659
BAPHYTRIAL1_FILE1,0.0,6.659
FALSE_ALARM_TRIAL,0.0,6.659
INVALID_BAPHY_TRIAL,0.0,6.659
STIM_536,0.0,0.5
REFERENCE,0.0,0.5
PreStimSilence,0.0,0.1
CORRECT_REJECT_TOKEN,0.1,0.4
PostStimSilence,0.4,0.5
STIM_1072,0.5,1.0
REFERENCE,0.5,1.0
PreStimSilence,0.5,0.6
CORRECT_REJECT_TOKEN,0.6,0.9
PostStimSilence,0.9,1.0
STIM_1231,1.0,1.5
REFERENCE,1.0,1.5
PreStimSilence,1.0,1.1
FALSE_ALARM_TOKEN,1.1,1.4
PostStimSilence,1.4,1.5
TAR_812+0dB+Noise,1.5,3.0
TARGET,1.5,3.0
PreStimSilence,1.5,1.6
LICK,1.549,1.549
LICK,1.818,1.818
PostStimSilence,1.9,3.0
LICK,2.119,2.119
TRIAL,12.078,20.041
BAPHYTRIAL2_FILE1,12.078,20.041
HIT_TRIAL,12.078,20.041
INVALID_BAPHY_TRIAL,12.078,20.041
STIM_812,12.078,12.578
REFERENCE,12.078,12.578
PreStimSilence,12.078,12.178
CORRECT_REJECT_TOKEN,12.178,12.478
PostStimSilence,12.478,12.578
STIM_308,12.578,13.078
REFERENCE,12.578,13.078
PreStimSilence,12.578,12.678
CORRECT_REJECT_TOKEN,12.678,12.978
PostStimSilence,12.978,13.078
TAR_812+0dB+Noise,13.078,13.578
TARGET,13.078,13.578
PreStimSilence,13.078,13.178
HIT_TOKEN,13.178,13.478
PostStimSilence,13.478,13.578
STIM_268,13.578,15.078
REFERENCE,13.578,15.078
PreStimSilence,13.578,13.678
FALSE_ALARM_TOKEN,13.678,13.978
PostStimSilence,13.978,15.078
LICK,13.993,13.993
LICK,14.226,14.226
LICK,14.526,14.526
LICK,14.726,14.726
LICK,14.964,14.964
LICK,15.161,15.161
LICK,15.362,15.362
LICK,15.596,15.596
TRIAL,25.223,32.681
BAPHYTRIAL3_FILE1,25.223,32.681
HIT_TRIAL,25.223,32.681
STIM_707,25.223,25.723
REFERENCE,25.223,25.723
PreStimSilence,25.223,25.323
CORRECT_REJECT_TOKEN,25.323,25.623
PostStimSilence,25.623,25.723
STIM_1866,25.723,26.223
REFERENCE,25.723,26.223
PreStimSilence,25.723,25.823
FALSE_ALARM_TOKEN,25.823,26.123
PostStimSilence,26.123,26.223
TAR_812+InfdB+Noise,26.223,27.723
TARGET,26.223,27.723
PreStimSilence,26.223,26.323
HIT_TOKEN,26.323,26.623
LICK,26.502,26.502
PostStimSilence,26.623,27.723
LICK,26.766,26.766
LICK,27.002,27.002
LICK,27.203,27.203
LICK,27.433,27.433
LICK,27.603,27.603
LICK,27.833,27.833
LICK,28.102,28.102
LICK,28.366,28.366
LICK,28.938,28.938
LICK,31.241,31.241
LICK,32.512,32.512
TRIAL,37.902,43.967
BAPHYTRIAL4_FILE1,37.902,43.967
INCORRECT_HIT_TRIAL,37.902,43.967
STIM_354,37.902,38.402
REFERENCE,37.902,38.402
PreStimSilence,37.902,38.002
FALSE_ALARM_TOKEN,38.002,38.302
PostStimSilence,38.302,38.402
CAT_812+-InfdB+Noise,38.402,38.902
CATCH,38.402,38.902
PreStimSilence,38.402,38.502
INCORRECT_HIT_TOKEN,38.502,38.802
PostStimSilence,38.802,38.902
LICK,38.848,38.848
TRIAL,49.079,56.538
BAPHYTRIAL5_FILE1,49.079,56.538
CORRECT_REJECT_TRIAL,49.079,56.538
INVALID_BAPHY_TRIAL,49.079,56.538
STIM_354,49.079,49.579
REFERENCE,49.079,49.579
PreStimSilence,49.079,49.179
CORRECT_REJECT_TOKEN,49.179,49.479
PostStimSilence,49.479,49.579
CAT_812+-InfdB+Noise,49.579,50.079
CATCH,49.579,50.079
PreStimSilence,49.579,49.679
CORRECT_REJECT_TOKEN,49.679,49.979
PostStimSilence,49.979,50.079
REM_812+InfdB+Noise+reminder,50.079,51.579
TARGET,50.079,51.579
PreStimSilence,50.079,50.179
HIT_TOKEN,50.179,50.479
PostStimSilence,50.479,51.579
LICK,50.883,50.883
LICK,51.152,51.152
LICK,51.386,51.386
LICK,51.588,51.588
LICK,51.784,51.784
LICK,51.955,51.955
LICK,52.185,52.185
LICK,52.454,52.454
LICK,52.685,52.685
LICK,52.923,52.923
LICK,53.194,53.194
LICK,53.822,53.822
TRIAL,62.257,68.805
BAPHYTRIAL6_FILE1,62.257,68.805
FALSE_ALARM_TRIAL,62.257,68.805
STIM_467,62.257,62.757
REFERENCE,62.257,62.757
PreStimSilence,62.257,62.357
CORRECT_REJECT_TOKEN,62.357,62.657
PostStimSilence,62.657,62.757
STIM_616,62.757,63.257
REFERENCE,62.757,63.257
PreStimSilence,62.757,62.857
FALSE_ALARM_TOKEN,62.857,63.157
PostStimSilence,63.157,63.257
STIM_406,63.257,63.757
REFERENCE,63.257,63.757
PreStimSilence,63.257,63.357
FALSE_ALARM_TOKEN,63.357,63.657
PostStimSilence,63.657,63.757
LICK,63.715,63.715
TRIAL,74.196,82.157
BAPHYTRIAL7_FILE1,74.196,82.157
HIT_TRIAL,74.196,82.157
INVALID_BAPHY_TRIAL,74.196,82.157
STIM_1625,74.196,74.696
REFERENCE,74.196,74.696
PreStimSilence,74.196,74.296
CORRECT_REJECT_TOKEN,74.296,74.596
PostStimSilence,74.596,74.696
TAR_812+InfdB+Noise,74.696,76.196
TARGET,74.696,76.196
PreStimSilence,74.696,74.796
HIT_TOKEN,74.796,75.096
PostStimSilence,75.096,76.196
LICK,75.638,75.638
LICK,75.911,75.911
LICK,76.129,76.129
LICK,76.376,76.376
LICK,76.675,76.675
TRIAL,88.029,96.995
BAPHYTRIAL8_FILE1,88.029,96.995
MISS_TRIAL,88.029,96.995
STIM_467,88.029,88.529
REFERENCE,88.029,88.529
PreStimSilence,88.029,88.129
CORRECT_REJECT_TOKEN,88.129,88.429
PostStimSilence,88.429,88.529
STIM_616,88.529,89.029
REFERENCE,88.529,89.029
PreStimSilence,88.529,88.629
CORRECT_REJECT_TOKEN,88.629,88.929
PostStimSilence,88.929,89.029
STIM_406,89.029,89.529
REFERENCE,89.029,89.529
PreStimSilence,89.029,89.129
CORRECT_REJECT_TOKEN,89.129,89.429
PostStimSilence,89.429,89.529
TAR_812+0dB+Noise,89.529,91.029
TARGET,89.529,91.029
PreStimSilence,89.529,89.629
MISS_TOKEN,89.629,89.929
PostStimSilence,89.929,91.029
LICK,90.988,90.988
TRIAL,102.638,111.596
BAPHYTRIAL9_FILE1,102.638,111.596
MISS_TRIAL,102.638,111.596
INVALID_BAPHY_TRIAL,102.638,111.596
STIM_536,102.638,103.138
REFERENCE,102.638,103.138
PreStimSilence,102.638,102.738
CORRECT_REJECT_TOKEN,102.738,103.038
PostStimSilence,103.038,103.138
STIM_1072,103.138,103.638
REFERENCE,103.138,103.638
PreStimSilence,103.138,103.238
CORRECT_REJECT_TOKEN,103.238,103.538
PostStimSilence,103.538,103.638
STIM_1231,103.638,104.138
REFERENCE,103.638,104.138
PreStimSilence,103.638,103.738
CORRECT_REJECT_TOKEN,103.738,104.038
PostStimSilence,104.038,104.138
TAR_812+0dB+Noise,104.138,105.638
TARGET,104.138,105.638
PreStimSilence,104.138,104.238
MISS_TOKEN,104.238,104.538
PostStimSilence,104.538,105.638
LICK,105.656,105.656
LICK,105.855,105.855
LICK,106.021,106.021
LICK,106.25,106.25
LICK,106.42,106.42
LICK,106.689,106.689
TRIAL,116.421,123.379
BAPHYTRIAL10_FILE1,116.421,123.379
HIT_TRIAL,116.421,123.379
INVALID_BAPHY_TRIAL,116.421,123.379
STIM_1414,116.421,116.921
REFERENCE,116.421,116.921
PreStimSilence,116.421,116.521
FALSE_ALARM_TOKEN,116.521,116.821
PostStimSilence,116.821,116.921
TAR_812+InfdB+Noise,116.921,118.421
TARGET,116.921,118.421
PreStimSilence,116.921,117.021
HIT_TOKEN,117.021,117.321
LICK,117.271,117.271
PostStimSilence,117.321,118.421
LICK,117.502,117.502
LICK,117.737,117.737
LICK,117.971,117.971
LICK,118.199,118.199
LICK,118.409,118.409
LICK,118.606,118.606
LICK,118.841,118.841
LICK,119.17,119.17
LICK,119.373,119.373
TRIAL,129.357,135.538
BAPHYTRIAL11_FILE1,129.357,135.538
FALSE_ALARM_TRIAL,129.357,135.538
STIM_933,129.357,129.857
REFERENCE,129.357,129.857
PreStimSilence,129.357,129.457
CORRECT_REJECT_TOKEN,129.457,129.757
PostStimSilence,129.757,129.857
STIM_812,129.857,130.357
REFERENCE,129.857,130.357
PreStimSilence,129.857,129.957
FALSE_ALARM_TOKEN,129.957,130.257
PostStimSilence,130.257,130.357
TAR_812+InfdB+Noise,130.357,130.857
TARGET,130.357,130.857
PreStimSilence,130.357,130.457
LICK,130.449,130.449
LICK,130.711,130.711
PostStimSilence,130.757,130.857
TRIAL,141.787,148.503
BAPHYTRIAL12_FILE1,141.787,148.503
EARLY_TRIAL,141.787,148.503
INVALID_BAPHY_TRIAL,141.787,148.503
STIM_467,141.787,142.287
REFERENCE,141.787,142.287
PreStimSilence,141.787,141.887
CORRECT_REJECT_TOKEN,141.887,142.187
PostStimSilence,142.187,142.287
STIM_616,142.287,142.787
REFERENCE,142.287,142.787
PreStimSilence,142.287,142.387
CORRECT_REJECT_TOKEN,142.387,142.687
PostStimSilence,142.687,142.787
STIM_406,142.787,143.287
REFERENCE,142.787,143.287
PreStimSilence,142.787,142.887
FALSE_ALARM_TOKEN,142.887,143.187
PostStimSilence,143.187,143.287
CAT_812+-InfdB+Noise,143.287,143.787
CATCH,143.287,143.787
PreStimSilence,143.287,143.387
EARLY_TOKEN,143.387,143.687
LICK,143.404,143.404
LICK,143.638,143.638
PostStimSilence,143.687,143.787
TRIAL,154.664,163.124
BAPHYTRIAL13_FILE1,154.664,163.124
CORRECT_REJECT_TRIAL,154.664,163.124
STIM_467,154.664,155.164
REFERENCE,154.664,155.164
PreStimSilence,154.664,154.764
CORRECT_REJECT_TOKEN,154.764,155.064
PostStimSilence,155.064,155.164
STIM_616,155.164,155.664
REFERENCE,155.164,155.664
PreStimSilence,155.164,155.264
CORRECT_REJECT_TOKEN,155.264,155.564
PostStimSilence,155.564,155.664
STIM_406,155.664,156.164
REFERENCE,155.664,156.164
PreStimSilence,155.664,155.764
CORRECT_REJECT_TOKEN,155.764,156.064
PostStimSilence,156.064,156.164
CAT_812+-InfdB+Noise,156.164,156.664
CATCH,156.164,156.664
PreStimSilence,156.164,156.264
CORRECT_REJECT_TOKEN,156.264,156.564
PostStimSilence,156.564,156.664
REM_812+InfdB+Noise+reminder,156.664,158.164
TARGET,156.664,158.164
PreStimSilence,156.664,156.764
HIT_TOKEN,156.764,157.064
PostStimSilence,157.064,158.164
LICK,157.412,157.412
LICK,157.681,157.681
LICK,157.949,157.949
LICK,158.179,158.179
LICK,158.413,158.413
LICK,158.586,158.586
LICK,158.848,158.848
LICK,159.116,159.116
LICK,159.349,159.349
LICK,159.544,159.544
