time,amplitude
0,4.476
0.00193548,1.208
0.00387097,-2.546
0.00580644,-6.1871
0.00774192,-9.111
0.0096774,-10.882
0.01161288,-11.36
0.01354836,-10.724
0.01548384,-9.3421
0.01741932,-7.6635
0.0193548,-5.9874
0.02129028,-4.4585
0.02322576,-3.0294
0.02516124,-1.5556
0.02709672,0.12831
0.0290322,2.117
0.03096768,4.3815
0.03290316,6.7616
0.03483864,8.9788
0.03677412,10.681
0.0387096,11.509
0.04064508,11.164
0.04258056,9.5016
0.04451604,6.5961
0.04645152,2.7685
0.048387,-1.4716
0.05032248,-5.5146
0.05225796,-8.8272
0.05419344,-11.073
0.05612892,-12.213
0.0580644,-12.479
0.05999988,-12.277
0.06193536,-12.058
0.06387084,-12.174
0.06580632,-12.805
0.0677418,-13.966
0.06967728,-15.55
0.07161276,-17.391
0.07354824,-19.338
0.07548372,-21.229
0.0774192,-22.937
0.07935468,-24.329
0.08129016,-25.304
0.08322564,-25.811
0.08516112,-25.877
0.0870966,-25.588
0.08903208,-25.078
0.09096756,-24.471
0.09290304,-23.838
0.09483852,-23.189
0.096774,-22.496
0.09870948,-21.731
0.10064496,-20.922
0.10258044,-20.15
0.10451592,-19.548
0.1064514,-19.257
0.10838688,-19.349
0.11032236,-19.856
0.11225784,-20.712
0.11419332,-21.802
0.1161288,-23.016
0.11806428,-24.256
0.11999976,-25.472
0.12193524,-26.644
0.12387072,-27.747
0.1258062,-28.719
0.12774168,-29.436
0.12967716,-29.717
0.13161264,-29.357
0.13354812,-28.196
0.1354836,-26.195
0.13741908,-23.476
0.13935456,-20.347
0.14129004,-17.273
0.14322552,-14.759
0.145161,-13.23
0.14709648,-12.96
0.14903196,-13.966
0.15096744,-15.991
0.15290292,-18.579
0.1548384,-21.132
0.15677388,-23.097
0.15870936,-24.027
0.16064484,-23.715
0.16258032,-22.209
0.1645158,-19.782
0.16645128,-16.837
0.16838676,-13.808
0.17032224,-11.068
0.17225772,-8.8719
0.1741932,-7.3614
0.17612868,-6.5654
0.17806416,-6.4603
0.17999964,-6.9962
0.18193512,-8.0838
0.1838706,-9.6232
0.18580608,-11.446
0.18774156,-13.369
0.18967704,-15.193
0.19161252,-16.745
0.193548,-17.904
0.19548348,-18.629
0.19741896,-18.941
0.19935444,-18.957
0.20128992,-18.794
0.2032254,-18.616
0.20516088,-18.579
0.20709636,-18.818
0.20903184,-19.438
0.21096732,-20.418
0.2129028,-21.687
0.21483828,-23.047
0.21677376,-24.243
0.21870924,-24.997
0.22064472,-25.096
0.2225802,-24.455
0.22451568,-23.155
0.22645116,-21.45
0.22838664,-19.719
0.23032212,-18.361
0.2322576,-17.699
0.23419308,-17.917
0.23612856,-18.96
0.23806404,-20.607
0.23999952,-22.498
0.241935,-24.243
0.24387048,-25.525
0.24580596,-26.168
0.24774144,-26.171
0.24967692,-25.693
0.2516124,-24.986
0.25354788,-24.327
0.25548336,-23.925
0.25741884,-23.862
0.25935432,-24.082
0.2612898,-24.403
0.26322528,-24.592
0.26516076,-24.429
0.26709624,-23.809
0.26903172,-22.764
0.2709672,-21.469
0.27290268,-20.187
0.27483816,-19.167
0.27677364,-18.587
0.27870912,-18.495
0.2806446,-18.823
0.28258008,-19.438
0.28451556,-20.181
0.28645104,-20.964
0.28838652,-21.742
0.290322,-22.519
0.29225748,-23.315
0.29419296,-24.122
0.29612844,-24.897
0.29806392,-25.551
0.2999994,-25.979
0.30193488,-26.063
0.30387036,-25.695
