start,end,name
0.0,1343.901,PASSIVE_EXPERIMENT
0.0,5.501,TRIAL
0.0,5.5,STIM_ferretmixed41.wav
0.0,5.5,REFERENCE
0.0,2.0,PreStimSilence
5.0,5.5,PostStimSilence
5.6,11.100999999999999,TRIAL
5.6,11.1,STIM_ferretmixed42.wav
5.6,11.1,REFERENCE
5.6,7.6,PreStimSilence
10.6,11.1,PostStimSilence
11.2,16.701,TRIAL
11.2,16.7,STIM_ferretmixed41.wav
11.2,16.7,REFERENCE
11.2,13.2,PreStimSilence
16.2,16.7,PostStimSilence
16.8,22.301000000000002,TRIAL
16.8,22.3,STIM_ferretmixed42.wav
16.8,22.3,REFERENCE
16.8,18.8,PreStimSilence
21.8,22.3,PostStimSilence
22.4,27.901,TRIAL
22.4,27.9,STIM_ferretmixed42.wav
22.4,27.9,REFERENCE
22.4,24.4,PreStimSilence
27.4,27.9,PostStimSilence
28.0,33.501,TRIAL
28.0,33.5,STIM_ferretmixed41.wav
28.0,33.5,REFERENCE
28.0,30.0,PreStimSilence
33.0,33.5,PostStimSilence
33.6,39.101,TRIAL
33.6,39.1,STIM_ferretmixed42.wav
33.6,39.1,REFERENCE
33.6,35.6,PreStimSilence
38.6,39.1,PostStimSilence
39.2,44.701,TRIAL
39.2,44.7,STIM_ferretmixed41.wav
39.2,44.7,REFERENCE
39.2,41.2,PreStimSilence
44.2,44.7,PostStimSilence
44.8,50.300999999999995,TRIAL
44.8,50.3,STIM_ferretmixed42.wav
44.8,50.3,REFERENCE
44.8,46.8,PreStimSilence
49.8,50.3,PostStimSilence
50.4,55.900999999999996,TRIAL
50.4,55.9,STIM_ferretmixed41.wav
50.4,55.9,REFERENCE
50.4,52.4,PreStimSilence
55.4,55.9,PostStimSilence
56.0,61.501,TRIAL
56.0,61.5,STIM_ferretmixed42.wav
56.0,61.5,REFERENCE
56.0,58.0,PreStimSilence
61.0,61.5,PostStimSilence
61.6,67.101,TRIAL
61.6,67.1,STIM_ferretmixed41.wav
61.6,67.1,REFERENCE
61.6,63.6,PreStimSilence
66.6,67.1,PostStimSilence
67.2,72.70100000000001,TRIAL
67.2,72.7,STIM_ferretmixed42.wav
67.2,72.7,REFERENCE
67.2,69.2,PreStimSilence
72.2,72.7,PostStimSilence
72.8,78.301,TRIAL
72.8,78.3,STIM_ferretmixed41.wav
72.8,78.3,REFERENCE
72.8,74.8,PreStimSilence
77.8,78.3,PostStimSilence
78.4,83.90100000000001,TRIAL
78.4,83.9,STIM_ferretmixed41.wav
78.4,83.9,REFERENCE
78.4,80.4,PreStimSilence
83.4,83.9,PostStimSilence
84.0,89.501,TRIAL
84.0,89.5,STIM_ferretmixed42.wav
84.0,89.5,REFERENCE
84.0,86.0,PreStimSilence
89.0,89.5,PostStimSilence
89.6,95.101,TRIAL
89.6,95.1,STIM_ferretmixed42.wav
89.6,95.1,REFERENCE
89.6,91.6,PreStimSilence
94.6,95.1,PostStimSilence
95.2,100.70100000000001,TRIAL
95.2,100.7,STIM_ferretmixed41.wav
95.2,100.7,REFERENCE
95.2,97.2,PreStimSilence
100.2,100.7,PostStimSilence
100.8,106.301,TRIAL
100.8,106.3,STIM_ferretmixed42.wav
100.8,106.3,REFERENCE
100.8,102.8,PreStimSilence
105.8,106.3,PostStimSilence
106.4,111.90100000000001,TRIAL
106.4,111.9,STIM_ferretmixed41.wav
106.4,111.9,REFERENCE
106.4,108.4,PreStimSilence
111.4,111.9,PostStimSilence
112.0,117.501,TRIAL
112.0,117.5,STIM_ferretmixed41.wav
112.0,117.5,REFERENCE
112.0,114.0,PreStimSilence
117.0,117.5,PostStimSilence
117.6,123.101,TRIAL
117.6,123.1,STIM_ferretmixed42.wav
117.6,123.1,REFERENCE
117.6,119.6,PreStimSilence
122.6,123.1,PostStimSilence
123.2,128.701,TRIAL
123.2,128.7,STIM_ferretmixed41.wav
123.2,128.7,REFERENCE
123.2,125.2,PreStimSilence
128.2,128.7,PostStimSilence
128.8,134.30100000000002,TRIAL
128.8,134.3,STIM_ferretmixed42.wav
128.8,134.3,REFERENCE
128.8,130.8,PreStimSilence
133.8,134.3,PostStimSilence
134.4,139.901,TRIAL
134.4,139.9,STIM_ferretmixed41.wav
134.4,139.9,REFERENCE
134.4,136.4,PreStimSilence
139.4,139.9,PostStimSilence
140.0,145.501,TRIAL
140.0,145.5,STIM_ferretmixed42.wav
140.0,145.5,REFERENCE
140.0,142.0,PreStimSilence
145.0,145.5,PostStimSilence
145.6,151.101,TRIAL
145.6,151.1,STIM_ferretmixed41.wav
145.6,151.1,REFERENCE
145.6,147.6,PreStimSilence
150.6,151.1,PostStimSilence
151.2,156.701,TRIAL
151.2,156.7,STIM_ferretmixed42.wav
151.2,156.7,REFERENCE
151.2,153.2,PreStimSilence
156.2,156.7,PostStimSilence
156.8,162.30100000000002,TRIAL
156.8,162.3,STIM_ferretmixed41.wav
156.8,162.3,REFERENCE
156.8,158.8,PreStimSilence
161.8,162.3,PostStimSilence
162.4,167.901,TRIAL
162.4,167.9,STIM_ferretmixed42.wav
162.4,167.9,REFERENCE
162.4,164.4,PreStimSilence
167.4,167.9,PostStimSilence
168.0,173.501,TRIAL
168.0,173.5,STIM_ferretmixed41.wav
168.0,173.5,REFERENCE
168.0,170.0,PreStimSilence
173.0,173.5,PostStimSilence
173.6,179.101,TRIAL
173.6,179.1,STIM_ferretmixed42.wav
173.6,179.1,REFERENCE
173.6,175.6,PreStimSilence
178.6,179.1,PostStimSilence
179.2,184.701,TRIAL
179.2,184.7,STIM_ferretmixed42.wav
179.2,184.7,REFERENCE
179.2,181.2,PreStimSilence
184.2,184.7,PostStimSilence
184.8,190.30100000000002,TRIAL
184.8,190.3,STIM_ferretmixed41.wav
184.8,190.3,REFERENCE
184.8,186.8,PreStimSilence
189.8,190.3,PostStimSilence
190.4,195.901,TRIAL
190.4,195.9,STIM_ferretmixed41.wav
190.4,195.9,REFERENCE
190.4,192.4,PreStimSilence
195.4,195.9,PostStimSilence
196.0,201.501,TRIAL
196.0,201.5,STIM_ferretmixed42.wav
196.0,201.5,REFERENCE
196.0,198.0,PreStimSilence
201.0,201.5,PostStimSilence
201.6,207.101,TRIAL
201.6,207.1,STIM_ferretmixed42.wav
201.6,207.1,REFERENCE
201.6,203.6,PreStimSilence
206.6,207.1,PostStimSilence
207.2,212.701,TRIAL
207.2,212.7,STIM_ferretmixed41.wav
207.2,212.7,REFERENCE
207.2,209.2,PreStimSilence
212.2,212.7,PostStimSilence
212.8,218.30100000000002,TRIAL
212.8,218.3,STIM_ferretmixed42.wav
212.8,218.3,REFERENCE
212.8,214.8,PreStimSilence
217.8,218.3,PostStimSilence
218.4,223.901,TRIAL
218.4,223.9,STIM_ferretmixed41.wav
218.4,223.9,REFERENCE
218.4,220.4,PreStimSilence
223.4,223.9,PostStimSilence
224.0,229.501,TRIAL
224.0,229.5,STIM_ferretmixed42.wav
224.0,229.5,REFERENCE
224.0,226.0,PreStimSilence
229.0,229.5,PostStimSilence
229.6,235.101,TRIAL
229.6,235.1,STIM_ferretmixed41.wav
229.6,235.1,REFERENCE
229.6,231.6,PreStimSilence
234.6,235.1,PostStimSilence
235.2,240.701,TRIAL
235.2,240.7,STIM_ferretmixed42.wav
235.2,240.7,REFERENCE
235.2,237.2,PreStimSilence
240.2,240.7,PostStimSilence
240.8,246.30100000000002,TRIAL
240.8,246.3,STIM_ferretmixed41.wav
240.8,246.3,REFERENCE
240.8,242.8,PreStimSilence
245.8,246.3,PostStimSilence
246.4,251.901,TRIAL
246.4,251.9,STIM_ferretmixed41.wav
246.4,251.9,REFERENCE
246.4,248.4,PreStimSilence
251.4,251.9,PostStimSilence
252.0,257.501,TRIAL
252.0,257.5,STIM_ferretmixed42.wav
252.0,257.5,REFERENCE
252.0,254.0,PreStimSilence
257.0,257.5,PostStimSilence
257.6,263.101,TRIAL
257.6,263.1,STIM_ferretmixed42.wav
257.6,263.1,REFERENCE
257.6,259.6,PreStimSilence
262.6,263.1,PostStimSilence
263.2,268.70099999999996,TRIAL
263.2,268.7,STIM_ferretmixed41.wav
263.2,268.7,REFERENCE
263.2,265.2,PreStimSilence
268.2,268.7,PostStimSilence
268.8,274.301,TRIAL
268.8,274.3,STIM_ferretmixed42.wav
268.8,274.3,REFERENCE
268.8,270.8,PreStimSilence
273.8,274.3,PostStimSilence
274.4,279.90099999999995,TRIAL
274.4,279.9,STIM_ferretmixed41.wav
274.4,279.9,REFERENCE
274.4,276.4,PreStimSilence
279.4,279.9,PostStimSilence
280.0,285.501,TRIAL
280.0,285.5,STIM_ferretmixed41.wav
280.0,285.5,REFERENCE
280.0,282.0,PreStimSilence
285.0,285.5,PostStimSilence
285.6,291.101,TRIAL
285.6,291.1,STIM_ferretmixed42.wav
285.6,291.1,REFERENCE
285.6,287.6,PreStimSilence
290.6,291.1,PostStimSilence
291.2,296.70099999999996,TRIAL
291.2,296.7,STIM_ferretmixed41.wav
291.2,296.7,REFERENCE
291.2,293.2,PreStimSilence
296.2,296.7,PostStimSilence
296.8,302.301,TRIAL
296.8,302.3,STIM_ferretmixed42.wav
296.8,302.3,REFERENCE
296.8,298.8,PreStimSilence
301.8,302.3,PostStimSilence
302.4,307.90099999999995,TRIAL
302.4,307.9,STIM_ferretmixed42.wav
