ID,Treatment,BP,IVS,LV,RV,Epi,Endo,EF
4225-1,2 days,119,0.798784,1.30986,1.518245,1.52169,0.978559,46.94313
4225-2,2 days,132,0.779347,1.123055,1.789884,1.791969,0.620615,49.4236
4225-3,2 days,124,0.81113,1.351673,1.588933,1.569811,1.062051,37.67182
5050-1,2 days,110,0.748819,0.491687,0.658526,0.518116,0.328605,N/A
5050-2,2 days,157,0.603189,0.811548,0.499228,0.837729,0.734561,N/A
4214-2,5 days,107,0.569786,1.16363,1.625614,1.793338,0.625613,46.07088
4214-3,5 days,152,0.599284,0.724171,1.137104,0.993545,0.47844,55.3694
4214-4,5 days,115,0.036254,0.36162,0.489072,0.736587,0.040021,50.46687
4278-1,5 days,181,0.153494,0.369816,0.299715,0.632639,0.084885,42.4
4278-2,5 days,136,0.371413,0.31116,0.533238,0.531453,0.062462,54.13
4278-3,5 days,135,0.413508,0.844006,0.71127,1.157078,0.504104,42.36
4122-5,7 days,149,0.059821,0.403928,0.501009,0.331242,0.528604,29.25801
4122-7,7 days,152,0.048385,0.223884,0.115372,0.378019,0.224293,28.12604
4131-1,7 days,93,0.061641,0.05153,0.226424,0.021183,0.052348,18.0753
4131-2,7 days,126,0.219105,0.576925,0.480505,0.271449,0.254603,24.19845
4340-1,7 days,180,0.010155,0.058532,0.259667,0.083066,0.060514,30.19
4340-3,7 days,106,0.571351,0.68106,0.736301,0.847145,0.355711,55.41
5223-1,7 days,128,0.18539,0.24795,0.43701,0.316424,0.231687,N/A
5223-2,7 days,109,1.42524,1.16525,1.13338,1.445363,1.015721,N/A
5223-3,7 days,157,0.07516,0.16171,0.66417,0.190453,0.069978,N/A
5223-4,7 days,112,1.07879,0.37164,0.84279,0.404257,0.510026,N/A
4320-1,10 days,180,0.370222,0.455328,0.526933333,0.734226,0.110139,54.27
4320-2,10 days,177,0.131959,0.155902,0.512359,0.241594,0.041598,54.71
4320-3,10 days,162,0.346427,0.425233,0.601552,0.601625,0.192153,44.81
4320-4,10 days,135,0.166181,0.222237,0.466889,0.316191,0.055661,48.54
4124-1,14 days,152,0.173543,0.596743,0.938739,1.164006,0.120899,47.61446
4124-2,14 days,169,0.132709,0.626366,1.221028,0.938171,0.159959,38.88154
4124-3,14 days,140,0.562484,0.715217,0.952053,0.8418,0.285818,56.25359
3226-2,28 days,171,0.387025,0.557339,0.73222,0.771036,0.295313,36.27
3226-4,28 days,181,0.483413,0.625282,0.830171,0.656603,0.827127,53.29
3226-6,28 days,122,0.309831,0.492848,0.497457,0.657772,0.041218,48.17
3226-8,28 days,161,0.135592,0.427385,0.495349,0.710557,0.162862,31.16
3226-10,28 days,145,0.477718,0.977351,0.865854,1.322166,0.67457,34.46
4271-1,Saline,86,0.840661,1.100704,1.090419,0.805031,0.713511,60.17
4271-2,Saline,110,1.159339,0.899296,0.909581,1.194969,1.286489,52.7
4271-3,Saline,98,1,1,1,0.879835,1.008779,51.9
5174-4,Saline,100,1.396569,0.842833,0.799606,1.120165,0.991221,52.65
5174-5,Saline,98,0.603431,1.157167,1.200394,1.586108,1.469017,56.25
5174-6,Saline,117,1.008428,1.008428,1.001729,0.736908,0.856758,50.23
5190-4,Saline,92,0.991572,0.991572,0.998271,0.676984,0.674225,49.83
5190-5,Saline,100,0.75049,0.800758,0.878731,0.776326,1.200207,55.57
5190-6,Saline,120,1.24951,1.199242,1.121269,1.257862,0.929476,59.27
